('别惹老实人！砍人甩飞刀，结果反被杀……', '6594746535194395143', '6594746535194395143')
('宝马男砍人反被砍死，千万不要把老实人逼上绝路！', '6595531287157539336', '6595531287157539336')
('昆山宝马男下车砍人反被砍，砍人者算正当防卫吗？', '6594744260388454664', '6594744260388454664')
('男子持刀砍人 刀掉地上被对方反砍身亡', '6594976291319972365', '6594976291319972365')
('砍人者反被被砍者夺刀砍死，先别急着喊冤，或许……', '6595402311344849412', '6595402311344849412')
('昆山“反杀案”的真正看点在于“公众怒吼”！', '6597529673733767687', '6597529673733767687')
('“砍人反被杀案”现场血迹绵延，电动车主前同事：他生活压力大', '6595444212722827779', '6595444212722827779')
('按照现在的社会，你怎么看待江苏昆山砍人者又被骑电动车反砍？', '6594862512682828035', '6594862512682828035')
('「紫牛新闻」男子持刀砍人，刀掉地上被对方反砍身亡', '6594760758410609159', '6594760758410609159')
('昆山砍人反被砍杀案剧情反转白衣男能否免予处罚', '6595480898613805571', '6595480898613805571')
('“宝马男砍人反被杀”到底是不是正当防卫？', '6595660458332520967', '6595660458332520967')
('检察官发话了：“宝马男砍人反被杀”应该被认定为正当防卫', '6595791685391745550', '6595791685391745550')
('宝马男砍人反被砍死，千万不要把老实人逼上绝路！', '6596837880528634372', '6596837880528634372')
('因行车起冲突砍人反被杀 昆山检方介入嫌犯已被控制', '6594914211074146829', '6594914211074146829')
('那些“嚣张跋扈”的人，现在怎么样了？网友：刀没拿稳反被砍！', '6597391643110801934', '6597391643110801934')
('昆山街头砍人案死者身份是什么？宝马男砍人反被杀事件回顾', '6594998531193307652', '6594998531193307652')
('昆山检方介入“宝马男砍人反被杀”案：嫌犯已被控制', '6594976786814075396', '6594976786814075396')
('检察官发话了：“宝马男砍人反被杀”应该被认定为正当防卫', '6595902748238021123', '6595902748238021123')
('昆山宝马男砍人反被砍，白衣男究竟算不算防卫过当？白衣男将何去何从？', '6594996658159747331', '6594996658159747331')
('“宝马男砍人反被杀”骑车人应属正当防卫', '6595120449883996680', '6595120449883996680')
('昆山检方介入“宝马男砍人反被杀”案：嫌犯已被控制', '6594971205692817923', '6594971205692817923')
('宝马男砍人反被杀，砍人者算正当防卫吗？', '6595359170512290061', '6595359170512290061')
('昆山宝马男砍人反被砍事件，到底是正当防卫还是防卫过当？', '6595032996208706056', '6595032996208706056')
('“宝马男砍人反被杀”，无限防卫权引争议', '6595875572511932936', '6595875572511932936')
('“宝马男砍人反被杀”案检察机关提前介入', '6595161660476883470', '6595161660476883470')
('“砍人反被杀”与“路怒症”', '6596919641463849479', '6596919641463849479')
('昆山宝马纹身男持刀砍人反被砍事件：遇到垃圾人，是忍，还是狠？', '6595454270210834957', '6595454270210834957')
('“宝马男砍人反被杀”案检察机关提前介入', '6594981741797048836', '6594981741797048836')
('检察版朗读者｜宝马男持刀砍骑车男反被杀！是否“防卫过当”引热议！', '6595814364723282446', '6595814364723282446')
('“宝马男砍人反被杀”案检察机关提前介入', '6595025879909270029', '6595025879909270029')
('“宝马男砍人反被杀”案检察机关提前介入', '6594976991743574536', '6594976991743574536')
('“宝马男砍人反被杀”案检察机关提前介入', '6595031270445548040', '6595031270445548040')
('男子砍人不成反被砍身亡，疑有犯罪前科，曾获获见义勇为证书……', '6595098828343345678', '6595098828343345678')
('昆山宝马车主下车砍人反被砍，你认为电动车主算正当防卫吗？', '6595015558683427075', '6595015558683427075')
('昆山砍人案仍在正当防卫之列', '6595478187344396807', '6595478187344396807')
('昆山男子持刀砍人反被砍、洪泽湖2万亩螃蟹灭绝……江苏这一周有啥重要新闻？', '6596957843021103619', '6596957843021103619')
('“宝马男砍人反被杀”到底是不是正当防卫？', '6595872969514287619', '6595872969514287619')
('“宝马男砍人反被杀”案检察机关提前介入', '6595031270445548040', '6595031270445548040')
('“宝马男砍人反被杀”到底是不是正当防卫？', '6595684044069929485', '6595684044069929485')
